Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid
"Kaucja paleta Polbruk",18079,POLBRUK,1,0,0,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,,0,,2021-12-23 00:00:00,,0,0,,,,226
"Kaucja paleta",18080,POLBRUK,0,0,0,0,750,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,228
"Avanti",18081,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3842
"Ideo",18082,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3844
"Nostalite Prima",18083,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3845
"Carmino",18084,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3847
"Obrzeże Endo",18085,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3848
"Aura Polbruk",18086,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3849
"Obrzeże trawnikowe 6x20x100 cm",18087,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3857
"Multicomplex",18088,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4499
"Greengo",18089,POLBRUK,48,0.88,0.018333333333333,9.47,5.535,7,8,7,8,6.5,7.5,,0,,2021-12-23 00:00:00,,48,0,,1,1,4500
"Prostokąt Polbruk 4cm",18090,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4502
"Petra",18091,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4503
"Płytka chodnikowa 35x35x5",18092,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4505
"Trento",18093,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4506
"Granito",18094,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4507
"Nostalite 6cm",18095,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4509
"Palisada Ring 25cm",18096,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4511
"Obrzeże Modern",18097,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4512
"Palisada Zen 30cm",18098,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,6910
"Palisada Łamana 8x8x30",18099,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4514
"Obrzeże Palinea",18100,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4515
"Obrzeże Canto - 18cm",18101,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4516
"Obrzeże Canto Trapez - 30 cm",18102,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4517
"Obrzeże chodnikowe 8x30x100 - Polbruk",18103,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4518
"Gazon Mini Luna",18104,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4519
"Murek Grando 60x15 2stronny",18105,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4521
"Ogrodzenie Antara II - el.słupkowy - Polbruk",18106,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4522
"Płyta Meba - 8cm",18107,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4523
"Ekol 8cm Polbruk",18108,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4524
"Focus Polbruk 35x35x5",18109,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4525
"Płyta chodnikowa 50x50x7cm",18110,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4527
"Lira 50x25x4cm",18111,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4571
"Tetka 6cm",18112,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4609
"Krawężnik drogowy 12x25x100",18113,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4624
"Lira 100x25x4cm",18114,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4630
"Lira 75x25x4cm",18115,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4631
"Magna 50x75x8cm",18116,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4632
"Murek Grando 30x15 3stronny Polbruk",18117,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4634
"Stopień Grando Łamany 40x100x15",18118,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4635
"Napoli 6cm",18119,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4636
"Prostokąt Polbruk 8cm",18120,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4734
"Pustak GU+GA łupany 38x22x16",18121,JONIEC,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4748
"Urbanika",18122,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4759
"Urbanika 60",18123,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4762
"Lumia świecąca",18124,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4763
"Extrano",18125,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4765
