Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid,,
Kaucja paleta Polbruk,1,POLBRUK,1,0,0,61,5,61,5,61.5,61.5,61.5,61.5,61.5,61.5,,0,,2021-12-23 00:00:00,,0,0,,,,226
Kaucja paleta,2,POLBRUK,0,0,0,0,750,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,228,,
Avanti,3,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3842,,
Ideo,4,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3844,,
Nostalite Prima,5,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3845,,
Carmino,6,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3847,,
Obrzeże Endo,7,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3848,,
Aura Polbruk,8,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3849,,
Obrzeże trawnikowe 6x20x100 cm,9,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,3857,,
Multicomplex,10,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4499,,
Greengo,11,POLBRUK,48,0.88,0.018333333333333,9,47,5,54,6.9,7.5,6.3,6.9,5.9,6.5,,0,,2021-12-23 00:00:00,,48,0,,1,1,4500
Prostokąt Polbruk 4cm,12,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4502,,
Petra,13,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4503,,
Płytka chodnikowa 35x35x5,14,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4505,,
Trento,15,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4506,,
Granito,16,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4507,,
Nostalite 6cm,17,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4509,,
Palisada Ring 25cm,18,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4511,,
Obrzeże Modern,19,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4512,,
Palisada Zen 30cm,20,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,6910,,
Palisada Łamana 8x8x30,21,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,4514,,
