LP,Nazwa,PRODUCENT,Dopłata bez rabatu,CENA SZTUKI BEZ RABATU,CENA KATALOGOWA NETTO,KATALOGOWA,CENA TRANSPORTU BRUTTO,ile na zest,cena transp b.,Rabat oferta,cena zakupu brutto fabryka,cena zakupu netto,cena zakupu brutto plac wieliczka,Rabat właściwy hurt,Rabat właściwy brukarski,Rabat właściwy detaliczny,rabat basic,FABRYKA DETAL,PLAC DETAL,ZYSK Z FABRYKI DETAL,ZYSK Z PLACU DETAL,FABRYKA HURT,PLAC HURT,ZYSK Z FABRYKI HURT,ZYSK Z PLACU  HURT,FABRYKA SPECJALNA,PLAC SPECJALNA,ZYSK Z FABRYKI  SPECJALNA,ZYSK Z PLACU SPECJALNA,CENA M2/szt,WAGA m2/szt,WAGA PALETY,PAKOWANIE m2/szt,CENA KURIERA,CENA STRONA,ILOŚĆ WARSTW,Sprzedawany z placu,Sprzedawany na warstwy,minimalna ilosc,paletowane,prowizja na sztuki
1,Kaucja paleta Polbruk,POLBRUK,,,,"61,50","307,5",,,,"61,5",50,,,,,,"61,50","61,50",,,"61,50","61,50",,,"61,50","61,50",,,,,,,,"61,50",,,,,,
2,Kaucja paleta,POLBRUK,,,,"0,00","307,5",,10,,750,295,450,350,955,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
3,Avanti,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
4,Ideo,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
5,Nostalite Prima,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
5,Carmino,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
7,Obrzeże Endo,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
8,Aura Polbruk,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
9,Obrzeże trawnikowe 6x20x100 cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
10,Multicomplex,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
11,Greengo,POLBRUK,,,,"7,87","307,5",16,"0,400390625","6,61","5,1168","4,16","5,517190625",30,25,16,35,"7,00","7,50","1,53","2,38","6,00","6,50","0,72","0,80","5,50","6,00","0,31","0,39",,"0,02","0,88",48,,"7,00",,,,48,1,1
12,Prostokąt Polbruk 4cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
13,Petra,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
14,Płytka chodnikowa 35x35x5,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
15,Trento,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
16,Granito,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
17,Nostalite 6cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
18,Palisada Ring 25cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
19,Obrzeże Modern,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
20,Palisada Zen 30cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
21,Palisada Łamana 8x8x30,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
22,Obrzeże Palinea,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
23,Obrzeże Canto - 18cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
24,Obrzeże Canto Trapez - 30 cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
25,Obrzeże chodnikowe 8x30x100 - Polbruk,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
26,Gazon Mini Luna,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
27,Murek Grando 60x15 2stronny,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
28,Ogrodzenie Antara II - el.słupkowy - Polbruk,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
29,Płyta Meba - 8cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
30,Ekol 8cm Polbruk,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
31,Focus Polbruk 35x35x5,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
32,Płyta chodnikowa 50x50x7cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
33,Lira 50x25x4cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
34,Tetka 6cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
35,Krawężnik drogowy 12x25x100,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
36,Lira 100x25x4cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
37,Lira 75x25x4cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
38,Magna 50x75x8cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
39,Murek Grando 30x15 3stronny Polbruk,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
40,Stopień Grando Łamany 40x100x15,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
41,Napoli 6cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
42,Prostokąt Polbruk 8cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
43,Pustak GU+GA łupany 38x22x16,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
44,Urbanika,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
45,Urbanika 60,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
46,Lumia świecąca,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
47,Extrano,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
48,Metrik,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
49,Linea Trawertyn 100x25x4cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
50,Palisada Hestra 100cm,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
51,Łącznik ogrodzeniowy ŁSO,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
52,Pustak murkowy GMD Joniec 38x38x16,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
53,Pustak słupkowy GUD+GAD Joniec 38x38x16,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
54,Pustak murkowy GMDM Joniec 38x38x8,POLBRUK,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
55,ROMA Classic BRDM Joniec,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
56,ROMA Classic BRSM Joniec,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
57,ROMA Classic BRMM Joniec,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
58,Daszek CSBNR Joniec 45x28x6,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
59,Daszek CBG Joniec 24x28x6,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
60,Daszek CPGS Joniec 43x27x6,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
61,Daszek CPGM Joniec 50x27x6,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
62,Daszek ROMA CRDM Joniec 36x36x5,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
63,Daszek ROMA CRSM Joniec 50x20x20,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
64,Daszek ROMA CRMM Joniec,JONIEC,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
65,RIBENA 60x60x4 kolor,KOST-BET,,,,,"307,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,
66,Avanti - brązowy płukany,POLBRUK,,,,"81,18","307,5",16,"1,949163286","51,14","42,681","34,7","44,630163286",46,41,37,35,"51,50","54,00","7,17","7,62","48,00","50,00","4,32","4,37","45,00","47,00","1,89","1,93","5,00","132,05","1,30","9,86",,"51,50",10,TAK,TAK,"0,986",1,1
67,Avanti - ciemnoszary płukany,POLBRUK,,,,"81,18","307,5",16,"1,949163286","51,14","42,681","34,7","44,630163286",46,41,37,35,"51,50","54,00","7,17","7,62","48,00","50,00","4,32","4,37","45,00","47,00","1,89","1,93",,"132,05","1,30","9,86",,"51,50",10,,,"0,986",1,1
68,Avanti - czerwony płukany,POLBRUK,,,,"81,18","307,5",16,"1,949163286","51,14","42,681","34,7","44,630163286",46,41,37,35,"51,50","54,00","7,17","7,62","48,00","50,00","4,32","4,37","45,00","47,00","1,89","1,93",,"132,05","1,30","9,86",,"51,50",10,,,"0,986",1,1
69,Avanti - grafitowy płukany,POLBRUK,,,,"81,18","307,5",16,"1,949163286","51,14","42,681","34,7","44,630163286",46,41,37,35,"51,50","54,00","7,17","7,62","48,00","50,00","4,32","4,37","45,00","47,00","1,89","1,93","5,00","132,05","1,30","9,86",,"51,50",10,TAK,TAK,"0,986",1,1
70,Avanti - szary płukany,POLBRUK,,,,"81,18","307,5",16,"1,949163286","51,14","42,681","34,7","44,630163286",46,41,37,35,"51,50","54,00","7,17","7,62","48,00","50,00","4,32","4,37","45,00","47,00","1,89","1,93","5,00","132,05","1,30","9,86",,"51,50",10,TAK,TAK,"0,986",1,1
71,Avanti - żółty płukany,POLBRUK,,,,"81,18","307,5",16,"1,949163286","51,14","42,681","34,7","44,630163286",46,41,37,35,"51,50","54,00","7,17","7,62","48,00","50,00","4,32","4,37","45,00","47,00","1,89","1,93","5,00","132,05","1,30","9,86",,"51,50",10,TAK,TAK,"0,986",1,1
72,Multicomplex - latte,POLBRUK,,,,"67,65","307,5",13,"1,9711538462",46,"38,253","31,1","40,2241538462",41,36,32,30,"46,50","49,00","6,70","7,13","43,50","45,50","4,27","4,29","40,50","42,50","1,83","1,85","5,00","131,67","1,58",12,,"46,50",10,TAK,TAK,"1,2",1,1
73,Multicomplex - nerino,POLBRUK,,,,"67,65","307,5",13,"1,9711538462",46,"38,253","31,1","40,2241538462",41,36,32,30,"46,50","49,00","6,70","7,13","43,50","45,50","4,27","4,29","40,50","42,50","1,83","1,85","5,00","131,67","1,58",12,,"46,50",10,TAK,TAK,"1,2",1,1
74,Ideo - szary,POLBRUK,,,,"52,89","307,5",13,"1,9910644911","34,38","28,044","22,8","30,0350644911",44,39,35,33,"34,50","37,00","5,25","5,66","32,50","34,50","3,62","3,63","29,50","31,50","1,18","1,19","5,00","131,65","1,56","11,88",,"34,50",10,TAK,TAK,"1,188",1,1
75,Ideo - grafitowy,POLBRUK,,,,"56,58","307,5",13,"1,9910644911","36,78","30,504","24,8","32,4950644911",44,39,35,33,"37,00","39,50","5,28","5,70","35,00","37,00","3,66","3,66","32,50","34,50","1,62","1,63","5,00","131,65","1,56","11,88",,"37,00",10,TAK,TAK,"1,188",1,1
76,Ideo - hawaii,POLBRUK,,,,"67,65","307,5",13,"1,9910644911",46,"38,253","31,1","40,2440644911",41,36,32,30,"46,50","49,00","6,70","7,12","43,50","45,50","4,27","4,27","40,50","42,50","1,83","1,83","5,00","131,65","1,56","11,88",,"46,50",10,TAK,TAK,"1,188",1,1
77,Ideo - latte,POLBRUK,,,,"67,65","307,5",13,"1,9910644911",46,"38,253","31,1","40,2440644911",41,36,32,30,"46,50","49,00","6,70","7,12","43,50","45,50","4,27","4,27","40,50","42,50","1,83","1,83","5,00","131,65","1,56","11,88",,"46,50",10,TAK,TAK,"1,188",1,1
78,Ideo - nerino,POLBRUK,,,,"67,65","307,5",13,"1,9910644911",46,"38,253","31,1","40,2440644911",41,36,32,30,"46,50","49,00","6,70","7,12","43,50","45,50","4,27","4,27","40,50","42,50","1,83","1,83","5,00","131,65","1,56","11,88",,"46,50",10,TAK,TAK,"1,188",1,1
79,Ideo - onyx,POLBRUK,,,,"67,65","307,5",13,"1,9910644911",46,"38,253","31,1","40,2440644911",41,36,32,30,"46,50","49,00","6,70","7,12","43,50","45,50","4,27","4,27","40,50","42,50","1,83","1,83",,"131,65","1,56","11,88",,"46,50",10,,,"1,188",1,1
80,Ideo - bianka_d,POLBRUK,,,,"81,18","307,5",13,"1,9910644911","51,14","42,681","34,7","44,6720644911",46,41,37,35,"51,50","54,50","7,17","7,99","48,00","50,00","4,32","4,33","45,00","47,00","1,89","1,89","5,00","131,65","1,56","11,88",,"51,50",10,TAK,TAK,"1,188",1,1
81,Ideo - ritmo_d,POLBRUK,,,,"81,18","307,5",13,"1,9910644911","51,14","42,681","34,7","44,6720644911",46,41,37,35,"51,50","54,50","7,17","7,99","48,00","50,00","4,32","4,33","45,00","47,00","1,89","1,89","5,00","131,65","1,56","11,88",,"51,50",10,TAK,TAK,"1,188",1,1
82,Obrzeże Endo - brązowy,POLBRUK,,,,"12,30","307,5",16,"0,4367897727","11,69","8,61",7,"9,0467897727",14,9,5,3,"12,00","13,00","2,76","3,21","11,50","12,00","2,35","2,40","9,50","10,00","0,72","0,77","5,00","25,45","1,12",44,,"12,00",,TAK,TAK,1,1,0
83,Obrzeże Endo - grafitowy,POLBRUK,,,,"12,30","307,5",16,"0,4367897727","11,69","8,61",7,"9,0467897727",14,9,5,3,"12,00","13,00","2,76","3,21","11,50","12,00","2,35","2,40","9,50","10,00","0,72","0,77","5,00","25,45","1,12",44,,"12,00",,TAK,TAK,1,1,0
84,Obrzeże Endo - szary,POLBRUK,,,,"11,69","307,5",16,"0,4367897727","11,11","8,1795","6,65","8,6162897727",14,9,5,3,"11,50","12,50","2,70","3,16","11,00","11,50","2,29","2,34","9,00","9,50","0,67","0,72","5,00","25,45","1,12",44,,"11,50",,TAK,TAK,1,1,0
85,Nostalite Prima - galia,POLBRUK,,,,"67,65","307,5",13,"2,0748987854",46,"38,253","31,1","40,3278987854",41,36,32,30,"46,50","49,50","6,70","7,46","43,50","46,00","4,27","4,61","40,50","43,00","1,83","2,17",,"131,75","1,50","11,4",,"46,50",10,,,"1,14",1,1
86,"Carmino - gładka, brązowy",POLBRUK,,,,"56,58","307,5",16,"1,949163286","36,78","30,504","24,8","32,453163286",44,39,35,33,"37,00","39,50","5,28","5,73","35,00","37,00","3,66","3,70","32,50","34,50","1,62","1,66",,"132,05","1,30","9,86",,"37,00",10,TAK,TAK,"0,986",1,1
87,"Carmino - gładka, grafitowy",POLBRUK,,,,"56,58","307,5",16,"1,949163286","36,78","30,504","24,8","32,453163286",44,39,35,33,"37,00","39,50","5,28","5,73","35,00","37,00","3,66","3,70","32,50","34,50","1,62","1,66","5,00","132,05","1,30","9,86",,"37,00",10,TAK,TAK,"0,986",1,1
88,"Carmino - gładka, hawaii",POLBRUK,,,,"67,65","307,5",16,"1,949163286",46,"38,253","31,1","40,202163286",41,36,32,30,"46,50","49,00","6,70","7,15","43,50","45,50","4,27","4,31","40,50","42,50","1,83","1,87","5,00","132,05","1,30","9,86",,"46,50",10,TAK,TAK,"0,986",1,1
89,"Carmino - gładka, latte",POLBRUK,,,,"67,65","307,5",16,"1,949163286",46,"38,253","31,1","40,202163286",41,36,32,30,"46,50","49,00","6,70","7,15","43,50","45,50","4,27","4,31","40,50","42,50","1,83","1,87","5,00","132,05","1,30","9,86",,"46,50",10,TAK,TAK,"0,986",1,1
90,"Carmino - gładka, szary",POLBRUK,,,,"52,89","307,5",16,"1,949163286","34,38","28,044","22,8","29,993163286",44,39,35,33,"34,50","37,00","5,25","5,70","32,50","34,50","3,62","3,66","29,50","31,50","1,18","1,23","5,00","132,05","1,30","9,86",,"34,50",10,TAK,TAK,"0,986",1,1
91,"Carmino - postarzana, grafitowy",POLBRUK,,,,"73,80","307,5",16,"1,949163286","66,42","45,756","37,2","47,705163286",19,14,10,8,"66,50","69,50","16,87","17,72","63,50","65,50","14,43","14,47","48,50","50,50","2,23","2,27",,"132,05","1,30","9,86",,"66,50",10,,,"0,986",1,1
92,"Carmino - postarzana, hawaii",POLBRUK,,,,"86,10","307,5",16,"1,949163286","77,49","53,382","43,4","55,331163286",19,14,10,8,"77,50","80,50","19,61","20,46","74,50","76,50","17,17","17,21","56,50","58,50","2,53","2,58",,"132,05","1,30","9,86",,"77,50",10,,,"0,986",1,1
93,"Carmino - postarzana, latte",POLBRUK,,,,"86,10","307,5",16,"1,949163286","77,49","53,382","43,4","55,331163286",19,14,10,8,"77,50","80,50","19,61","20,46","74,50","76,50","17,17","17,21","56,50","58,50","2,53","2,58",,"132,05","1,30","9,86",,"77,50",10,,,"0,986",1,1
94,Obrzeże trawnikowe 6x20x100 cm - brązowy,POLBRUK,,,,"16,61","307,5",13,"0,4223901099","11,79","8,979","7,3","9,4013901099",38,35,29,27,"12,00","13,00","2,46","2,93","11,00","11,50","1,64","1,71","9,50","10,00","0,42","0,49",,"27,36","1,53",56,,"12,00",,TAK,TAK,1,1,0
95,Obrzeże trawnikowe 6x20x100 cm - czerwony,POLBRUK,,,,"16,61","307,5",13,"0,4223901099","11,79","8,979","7,3","9,4013901099",38,35,29,27,"12,00","13,00","2,46","2,93","11,00","11,50","1,64","1,71","9,50","10,00","0,42","0,49",,"27,36","1,53",56,,"12,00",,TAK,TAK,1,1,0
96,Obrzeże trawnikowe 6x20x100 cm - grafitowy,POLBRUK,,,,"16,61","307,5",13,"0,4223901099","11,79","8,979","7,3","9,4013901099",38,35,29,27,"12,00","13,00","2,46","2,93","11,00","11,50","1,64","1,71","9,50","10,00","0,42","0,49",,"27,36","1,53",56,,"12,00",,TAK,TAK,1,1,0
97,Obrzeże trawnikowe 6x20x100 cm - szary,POLBRUK,,,,"12,05","307,5",13,"0,4223901099","8,68","6,888","5,6","7,3103901099",37,32,28,26,"9,00","10,00","1,72","2,19","8,50","9,00","1,31","1,37","7,50","8,00","0,50","0,56",,"27,36","1,53",56,,"9,00",,TAK,TAK,1,1,0
